d3mIndex,Month,State,County,Rate,County - named after (any)
521,April,South Dakota,Deuel County,5.8,
522,February,Arkansas,Baxter County,6.6,Elisha Baxter
523,June,Washington,Wahkiakum County,8.8,Wahkiakum
524,December,South Dakota,Jerauld County,2.6,
525,May,North Carolina,Jackson County,6.3,Andrew Jackson
526,March,Texas,Fort Bend County,3.9,
527,May,Washington,Skamania County,7.3,
528,September,New York,Cortland County,4.9,Pierre Van Cortlandt
529,February,Kentucky,Jefferson County,5.2,Thomas Jefferson
530,October,Wyoming,Park County,3.7,Yellowstone National Park
531,July,Connecticut,New Haven County,6.4,New Haven Colony
532,December,New York,Westchester County,4,Chester
533,October,West Virginia,Raleigh County,6.3,Walter Raleigh
534,August,Illinois,Will County,5.6,Conrad Will
535,March,Texas,Zavala County,10.2,Lorenzo de Zavala
536,January,Kansas,Gove County,2.6,
537,August,Louisiana,West Feliciana Parish,5,"Bernardo de Gálvez y Madrid, Count of Gálvez"
538,June,Ohio,Wood County,4.5,James Wood
539,June,Indiana,Washington County,5,George Washington
540,May,Indiana,Dearborn County,5,Henry Dearborn
541,September,Virginia,Montgomery County,3.9,Richard Montgomery
542,March,Montana,Silver Bow County,4.8,Silver Bow Creek
543,January,Texas,Panola County,4.6,cotton
544,July,Virginia,Russell County,6.5,William Russell
545,November,Texas,Dewitt County,4.3,Green DeWitt
546,August,Montana,Wibaux County,3,Pierre Wibaux
547,November,Texas,Starr County,13.6,James Harper Starr
548,September,South Dakota,Tripp County,2.4,Bartlett Tripp
549,October,South Carolina,Fairfield County,7.8,
550,October,Montana,Sheridan County,2.2,Philip Sheridan
551,January,Ohio,Delaware County,4.3,Delaware River
552,December,Oklahoma,Coal County,6.5,coal
553,May,South Dakota,Haakon County,2.2,Haakon VII of Norway
554,June,South Carolina,Allendale County,11.6,Paul H. Allen
555,September,Illinois,Union County,6.9,Union
556,July,Oklahoma,Lincoln County,4.4,Abraham Lincoln
557,March,Wyoming,Crook County,4.1,Daniel Pope Cook
558,May,Texas,Liberty County,6.6,Liberty
559,September,Montana,Lake County,4.3,lake
560,December,Indiana,Knox County,4.8,Henry Knox
561,June,Oregon,Curry County,8.1,George Law Curry
562,August,Ohio,Franklin County,3.8,Benjamin Franklin
563,April,Tennessee,Morgan County,7.3,Daniel Morgan
564,July,Alabama,Chambers County,6.9,
565,June,New York,Dutchess County,4.7,Mary of Modena
566,June,Ohio,Belmont County,6.5,
567,September,Minnesota,Mahnomen County,4.1,Ojibwe
568,January,Missouri,Washington County,8.3,George Washington
569,February,West Virginia,Doddridge County,6.7,Philip Doddridge
570,July,Oklahoma,Nowata County,5.8,Nowata
571,September,Alabama,Lawrence County,7.4,James Lawrence
572,November,Indiana,Randolph County,4.4,Edmund Randolph
573,August,Iowa,Union County,3.7,Union
574,June,Texas,Milam County,5.6,Benjamin Milam
575,August,Tennessee,Bedford County,6.6,Fort Bedford
576,February,North Carolina,Pasquotank County,8.1,
577,October,Ohio,Lawrence County,5.3,James Lawrence
578,March,Nevada,Lyon County,9.7,Nathaniel Lyon
579,June,Virginia,Washington County,5,George Washington
580,November,Kansas,Lincoln County,3,Abraham Lincoln
581,December,Texas,Kimble County,4.2,George C. Kimble
582,May,Wisconsin,Washburn County,4.9,Cadwallader C. Washburn
583,April,Kentucky,Meade County,5.3,George Meade
584,June,Pennsylvania,Wyoming County,6.1,plain
585,May,Pennsylvania,Sullivan County,6.4,John Sullivan
586,March,Alabama,Crenshaw County,5.8,Anderson Crenshaw
587,February,Alabama,Marengo County,7.9,Battle of Marengo
588,July,Nebraska,Wayne County,3.5,Anthony Wayne
589,June,North Carolina,Person County,7.4,Thomas Person
590,June,Texas,Karnes County,4.7,Henry Karnes
591,February,New Mexico,Los Alamos County,4.2,Los Alamos
592,June,Idaho,Jerome County,3.1,
593,March,South Dakota,Hughes County,3,William C. Hughes
594,October,Utah,Wasatch County,3.3,Indigenous peoples of the United States
595,February,Iowa,Buchanan County,5.5,James Buchanan
596,June,Mississippi,Forrest County,7.1,Nathan Bedford Forrest
597,November,Illinois,La Salle County,7.5,"René-Robert Cavelier, Sieur de La Salle"
598,April,Texas,Collin County,3.4,Collin McKinney
599,January,Illinois,Henry County,7.1,Patrick Henry
600,October,California,Sonoma County,4.2,Sonoma
601,February,Ohio,Montgomery County,5.6,Richard Montgomery
602,September,Arkansas,Lincoln County,5.7,Abraham Lincoln
603,April,Maine,Sagadahoc County,3.7,
604,January,Wisconsin,Buffalo County,6.1,Buffalo River
605,March,California,Mariposa County,9.8,Mariposa Creek
606,October,Texas,Red River County,6.2,Red River of the South
607,April,Ohio,Lorain County,5.4,Lorraine
608,May,Indiana,Hendricks County,3.9,William Hendricks
609,March,North Dakota,Lamoure County,3.6,Judson LaMoure
610,May,Iowa,Ida County,2.9,Mount Ida
611,August,Illinois,Pope County,7.7,
612,May,Virginia,Botetourt County,4.3,"Norborne Berkeley, 4th Baron Botetourt"
613,May,North Carolina,Wayne County,6.4,Anthony Wayne
614,October,Illinois,Dekalb County,5.6,
615,April,Colorado,Adams County,4.4,John Adams
616,January,Alabama,Coosa County,7.8,
617,August,Utah,Tooele County,4.2,
618,August,Texas,Cameron County,7.1,Ewen Cameron
619,January,Texas,Ector County,3.4,Mathew Ector
620,May,South Dakota,Buffalo County,7.5,Buffalo River
621,July,Ohio,Huron County,5.8,Lake Huron
622,May,California,Plumas County,9.4,Feather River
623,December,Oregon,Hood River County,4.9,Hood River
624,December,Mississippi,Newton County,7.1,
625,November,Utah,Wasatch County,3.2,Indigenous peoples of the United States
626,November,Minnesota,Rice County,2.7,Henry Mower Rice
627,June,Washington,Garfield County,5.3,James A. Garfield
628,April,Mississippi,Greene County,6.7,Nathanael Greene
629,June,Nebraska,Dixon County,3.6,Dixon
630,December,Iowa,Taylor County,2.9,
631,August,Iowa,Decatur County,3.1,Stephen Decatur
632,May,Iowa,Palo Alto County,2.9,Battle of Palo Alto
633,August,Tennessee,Morgan County,7.2,Daniel Morgan
634,February,Kansas,Cheyenne County,2.9,Cheyennes
635,January,Missouri,Jefferson County,6,Thomas Jefferson
636,April,Texas,Starr County,13.1,James Harper Starr
637,March,Iowa,Woodbury County,4.2,Levi Woodbury
638,September,South Dakota,Ziebach County,3.9,Frank M. Ziebach
639,August,Oklahoma,Custer County,3.9,George Armstrong Custer
640,December,North Dakota,McLean County,3.8,
641,July,Arkansas,Benton County,4.1,Thomas Hart Benton
642,May,Missouri,Stoddard County,6.5,Amos Stoddard
643,December,Arizona,Mohave County,7.5,Mohave people
644,February,North Dakota,Stutsman County,3.7,Enos Stutsman
645,January,Montana,Powell County,5.9,Mount Powell
646,December,Missouri,Adair County,4.3,William Penn Adair
647,August,Nebraska,Furnas County,2.6,Robert Wilkinson Furnas
648,June,Illinois,White County,5.6,Hugh Lawson White
649,July,California,Sacramento County,6.3,Sacramento
650,August,Virginia,Emporia City,7.6,Emporia
651,March,Mississippi,Yazoo County,7.6,
652,March,Missouri,Randolph County,6.7,Edmund Randolph
653,August,Indiana,Parke County,4.9,Benjamin Parke
654,November,Vermont,Orleans County,5.1,Orléans
655,May,Colorado,Mineral County,4,mineral
656,October,North Carolina,Yadkin County,4.7,Yadkin River
657,December,Missouri,Cooper County,4.2,Sarshell Cooper
658,December,North Dakota,Cavalier County,2.9,
659,April,Nebraska,Boone County,2.2,Daniel Boone
660,October,Texas,Cameron County,6.7,Ewen Cameron
661,January,Kentucky,Laurel County,7,Kalmia latifolia
662,December,Oregon,Harney County,7.4,William S. Harney
663,September,Kentucky,McLean County,4.5,
664,December,Texas,Hockley County,4.1,George Washington Hockley
665,January,Minnesota,Winona County,4,
666,April,Illinois,Jersey County,5.4,New Jersey
667,May,Kansas,Leavenworth County,4.6,Henry Leavenworth
668,December,South Dakota,Haakon County,2.4,Haakon VII of Norway
669,March,Virginia,Cumberland County,6,"Prince William, Duke of Cumberland"
670,August,North Carolina,Hoke County,8.4,Robert Hoke
671,July,Mississippi,Jones County,6.2,George W. Jones
672,December,Alabama,Butler County,7.4,Richard Butler
673,March,New York,Oswego County,8,Oswego River
674,November,Utah,Sevier County,3.8,Sevier River
675,May,North Carolina,Columbus County,7.8,Christopher Columbus
676,March,Mississippi,Covington County,5.6,Leonard Covington
677,November,Texas,Andrews County,3.9,Richard Andrews
678,November,Montana,Sweet Grass County,2.8,Hierochloe odorata
679,February,Missouri,Jackson County,7.1,Andrew Jackson
680,October,Mississippi,Attala County,7.4,
681,December,Kentucky,Clay County,10.7,Henry Clay
682,January,Tennessee,Lauderdale County,10,James Lauderdale
683,June,Idaho,Payette County,4.9,Francois Payette
684,December,Virginia,Norfolk City,5.2,
685,November,California,San Bernardino County,6,San Bernardino
686,October,Arkansas,Polk County,5,James K. Polk
687,February,Iowa,Hancock County,3.2,John Hancock
688,September,West Virginia,Wayne County,6.2,Anthony Wayne
689,September,California,Santa Cruz County,5.5,Santa Cruz River
690,November,West Virginia,McDowell County,10.8,James McDowell
691,August,North Dakota,Barnes County,3.1,
692,February,Texas,Travis County,3.4,William B. Travis
693,November,Texas,Limestone County,5.4,Limestone Creek
694,February,Texas,Dawson County,4.5,Andrew Dawson
695,August,Texas,Castro County,3.5,Henri Castro
696,September,West Virginia,Harrison County,5.7,William Henry Harrison
697,November,North Dakota,Bowman County,1.7,Edward M. Bowman
698,April,South Dakota,Jerauld County,2.2,
699,November,Indiana,Perry County,4.5,Oliver Hazard Perry
700,September,Virginia,Bedford County,4.1,Fort Bedford
701,May,New York,Saint Lawrence County,6.9,Saint Lawrence River
702,August,Ohio,Hamilton County,4.2,Alexander Hamilton
703,November,West Virginia,Braxton County,7.8,Carter Braxton
704,August,Texas,Loving County,5.7,Oliver Loving
705,April,New York,Yates County,5.2,Joseph C. Yates
706,July,Virginia,Montgomery County,4.7,Richard Montgomery
707,January,New York,Rockland County,5.3,
708,February,Alabama,Hale County,8,Stephen F. Hale
709,December,Texas,Stephens County,4.7,John Hall Stephens
710,April,Iowa,Boone County,3,Daniel Boone
711,January,Texas,Falls County,4.7,
712,February,Mississippi,Sharkey County,11.1,William L. Sharkey
713,April,Nevada,White Pine County,5.9,Pinus flexilis
714,July,Indiana,Carroll County,4.4,Charles Carroll
715,June,Indiana,Henry County,5,Patrick Henry
716,March,Iowa,Taylor County,3.3,
717,February,Nebraska,Holt County,2.7,Joseph Holt
718,December,California,Alpine County,5.9,Alps
719,January,Kansas,Douglas County,4.2,Stephen A. Douglas
720,July,Washington,King County,4.6,Martin Luther King Jr.
721,December,Missouri,Cole County,2.9,Stephen Cole
722,July,West Virginia,Calhoun County,10.4,John C. Calhoun
723,February,Iowa,Humboldt County,4.3,Alexander von Humboldt
724,January,North Carolina,Halifax County,9.3,"George Montagu-Dunk, 2nd Earl of Halifax"
725,May,Iowa,Van Buren County,3.6,Martin Van Buren
726,April,Texas,Reeves County,4.2,George R. Reeves
727,February,Nebraska,Hitchcock County,3.6,Phineas Hitchcock
728,February,Texas,Borden County,2.4,Gail Borden
729,October,Kansas,Morton County,3.4,Oliver P. Morton
730,November,Virginia,Dinwiddie County,4.5,Robert Dinwiddie
731,June,Minnesota,Pope County,3.2,
732,September,Illinois,Fulton County,7.1,Hamilton Fulton
733,July,Minnesota,Rock County,2.1,Rock River
734,July,Wisconsin,Green Lake County,4.7,Green Lake
735,October,Ohio,Lucas County,4.7,Robert Lucas
736,April,North Carolina,Richmond County,7.3,"Charles Lennox, 3rd Duke of Richmond"
737,February,Wyoming,Lincoln County,5.9,Abraham Lincoln
738,April,Kansas,Leavenworth County,4.6,Henry Leavenworth
739,August,Ohio,Champaign County,3.9,Champaign County
740,December,North Carolina,Robeson County,7.5,Thomas Robeson
741,July,North Carolina,Washington County,8.8,George Washington
742,March,Texas,Gonzales County,3.3,Gonzales
743,July,Minnesota,Becker County,4,George Loomis Becker
744,March,South Carolina,Chester County,8.5,Chester
745,April,Wisconsin,Columbia County,4.4,Columbia River
746,April,Virginia,Grayson County,5.7,Peter W. Grayson
747,May,Texas,Milam County,5,Benjamin Milam
748,July,Nebraska,Adams County,3.6,John Adams
749,November,Kentucky,Laurel County,6.3,Kalmia latifolia
750,September,Illinois,Jackson County,5.2,Andrew Jackson
751,May,Montana,Custer County,2.9,George Armstrong Custer
752,August,Kansas,Chase County,3.3,Salmon P. Chase
753,September,Utah,Wasatch County,3,Indigenous peoples of the United States
754,March,Washington,Pend Oreille County,10.5,Pend d'Oreilles
755,April,Illinois,Boone County,5.4,Daniel Boone
756,December,Illinois,Piatt County,5.6,James A. Piatt
757,October,Ohio,Erie County,4.7,Lake Erie
758,August,North Carolina,Nash County,7.7,Francis Nash
759,July,Pennsylvania,Monroe County,6.7,James Monroe
760,March,Iowa,Louisa County,4.3,Louise of Great Britain
761,July,Tennessee,Dekalb County,7.7,
762,February,South Dakota,Hyde County,2.9,Edward Hyde
763,December,South Carolina,Lexington County,4.3,Battles of alexington
764,June,West Virginia,Raleigh County,7.7,Walter Raleigh
765,October,Alabama,Lawrence County,7.4,James Lawrence
766,December,Tennessee,McNairy County,7.9,John McNairy
767,June,Mississippi,Neshoba County,6.7,
768,August,California,Santa Clara County,4.1,Mission Santa Clara de Asís
769,August,Ohio,Ashland County,4.4,Ashland
770,June,Minnesota,Swift County,7.9,Henry Adoniram Swift
771,October,Iowa,Calhoun County,3.5,John C. Calhoun
772,September,North Carolina,Robeson County,8,Thomas Robeson
773,August,Kentucky,Knox County,7.7,Henry Knox
774,October,Nebraska,Nemaha County,3,Nemaha River basin
775,December,Colorado,Park County,2.9,Yellowstone National Park
776,November,Oklahoma,Logan County,3.3,Logan
777,May,Virginia,York County,4.5,York
778,August,Nebraska,Buffalo County,2.5,Buffalo River
779,September,Colorado,La Plata County,2.7,
780,July,New York,Rensselaer County,4.9,Kiliaen van Rensselaer
781,November,Maryland,Queen Annes County,4.3,
782,July,Virginia,Alexandria City,3.3,
783,August,Montana,Sheridan County,2.1,Philip Sheridan
784,January,Virginia,Newport News City,6.4,
785,December,Virginia,Washington County,4.2,George Washington
786,March,Illinois,Champaign County,4.8,Champaign County
787,April,North Carolina,Dare County,6.6,Virginia Dare
788,August,Montana,Phillips County,3.5,
789,June,Texas,Clay County,4.9,Henry Clay
790,June,Arizona,Maricopa County,5.4,Maricopa people
791,January,California,Madera County,12.3,
792,September,Minnesota,Murray County,2.7,William H. Murray
793,December,Texas,Harris County,4.6,John Richardson Harris
794,October,Virginia,Smyth County,5.9,Alexander Smyth
795,September,Illinois,Kankakee County,6.3,Kankakee River
796,December,Nebraska,Boone County,2.6,Daniel Boone
797,April,New York,Monroe County,5.2,James Monroe
798,December,Missouri,Wright County,5.3,Silas Wright
799,December,Missouri,Webster County,4.2,Daniel Webster
800,July,Kentucky,Rockcastle County,7,Rockcastle River
801,October,New York,Richmond County,5.1,"Charles Lennox, 3rd Duke of Richmond"
802,January,South Carolina,Pickens County,6.5,Andrew Pickens
803,April,Oklahoma,Okmulgee County,6,Okmulgee
804,March,Virginia,Sussex County,7.5,Sussex
805,July,Indiana,Rush County,4.1,Benjamin Rush
806,April,Virginia,Roanoke County,3.8,Roanoke River
807,March,Minnesota,Freeborn County,4.6,William Freeborn
808,September,North Carolina,Craven County,5.7,"William Craven, 1st Earl of Craven"
809,May,Texas,Fort Bend County,4.1,
810,April,Texas,Lamar County,4.5,Mirabeau B. Lamar
811,June,Nebraska,Grant County,2.4,Ulysses S. Grant
812,July,New Mexico,McKinley County,11.1,William McKinley
813,December,Louisiana,Caldwell Parish,6.3,Caldwell
814,April,Louisiana,Saint Mary Parish,7,
815,August,Indiana,Shelby County,4,Isaac Shelby
816,June,Tennessee,Roane County,7.1,Spencer Roane
817,September,Texas,San Jacinto County,6.1,Battle of San Jacinto
818,October,Kentucky,Daviess County,4.3,Joseph Hamilton Daveiss
819,February,Texas,Callahan County,4.2,James Hughes Callahan
820,June,Mississippi,Greene County,8.4,Nathanael Greene
821,September,Arkansas,Grant County,4.3,Ulysses S. Grant
822,August,South Dakota,Pennington County,2.8,John L. Pennington
823,March,Texas,Kent County,2.2,James Kent
824,January,Arizona,Mohave County,9,Mohave people
825,May,Kentucky,Grayson County,6.7,Peter W. Grayson
826,December,Iowa,Grundy County,3.7,Felix Grundy
827,August,Virginia,Dickenson County,10,William J. Dickenson
828,April,Tennessee,Lake County,7.8,lake
829,December,Texas,Pecos County,5,Pecos River
830,December,South Dakota,Lincoln County,2,Abraham Lincoln
831,February,Kentucky,Elliott County,12.2,John Milton Elliott
832,August,Virginia,Orange County,4.3,orange
833,November,Nebraska,Dundy County,1.9,Elmer Scipio Dundy Sr.
834,June,North Carolina,Chatham County,5.2,
835,January,Missouri,Howell County,6.9,Howell Valley
836,June,Minnesota,Itasca County,6.2,Lake Itasca
837,May,Tennessee,Dickson County,5.7,William Dickson
838,August,Nebraska,Nuckolls County,2.3,Stephen Friel Nuckolls
839,December,Kentucky,Mercer County,5.3,Hugh Mercer
840,October,Texas,Bee County,6.5,"Barnard E. Bee, Sr."
841,April,South Dakota,Walworth County,5.4,Reuben H. Walworth
842,August,Ohio,Paulding County,4.3,John Paulding
843,May,Minnesota,Hennepin County,3.3,Louis Hennepin
844,June,Colorado,Mesa County,6.1,
845,October,Virginia,Spotsylvania County,4.2,Alexander Spotswood
846,April,Nevada,Douglas County,7.4,Stephen A. Douglas
847,September,Colorado,Clear Creek County,3.1,Clear Creek
848,July,Arkansas,Carroll County,4.5,Charles Carroll
849,May,Montana,Valley County,2.6,
850,May,South Dakota,Hutchinson County,2.5,
851,September,Oklahoma,Cherokee County,4.6,Cherokee
852,May,Missouri,Daviess County,5,Joseph Hamilton Daveiss
853,December,Massachusetts,Bristol County,5.7,Bristol
854,February,Connecticut,Windham County,7.5,Wineham
855,July,Kentucky,Estill County,6.4,James Estill
856,January,Alabama,Macon County,8.3,Nathaniel Macon
857,March,Louisiana,Allen Parish,7.1,Henry Watkins Allen
858,December,Iowa,Mahaska County,3.6,Chief Mahaska
859,August,Texas,Lamb County,9.4,
860,April,Kentucky,Cumberland County,5.6,"Prince William, Duke of Cumberland"
861,August,Idaho,Bingham County,4.2,Henry H. Bingham
862,May,Texas,Callahan County,4.1,James Hughes Callahan
863,February,Texas,Hopkins County,4.4,
864,October,New Mexico,Bernalillo County,5.8,
865,October,Texas,Wilson County,3.9,David Wilson
866,November,North Carolina,Cumberland County,7,"Prince William, Duke of Cumberland"
867,September,Tennessee,Wilson County,4.6,David Wilson
868,February,Wisconsin,Langlade County,7.6,Charles Michel de Langlade
869,April,Mississippi,Amite County,6.6,Amite River
870,September,North Carolina,Caswell County,5.9,Richard Caswell
871,August,Iowa,Palo Alto County,2.9,Battle of Palo Alto
872,July,Kentucky,Hardin County,5.3,"Joseph Hardin, Sr."
873,September,Oklahoma,Murray County,4.2,William H. Murray
874,January,Oklahoma,Johnston County,7,Gabriel Johnston
875,September,Illinois,Effingham County,4.4,"Thomas Howard, 3rd Earl of Effingham"
876,June,Washington,Island County,5.8,Whidbey Island
877,February,Oklahoma,Texas County,3.3,Republic of Texas
878,June,Texas,Bastrop County,4.4,Felipe Enrique Neri
879,November,Texas,Yoakum County,3.8,Henderson King Yoakum
880,November,Connecticut,Litchfield County,4.4,Lichfield
881,August,Texas,Dimmit County,5.6,Philip Dimmitt
882,March,Kansas,Republic County,3.2,Republican River
883,March,Missouri,Henry County,6.2,Patrick Henry
884,January,Montana,Gallatin County,3.6,Albert Gallatin
885,July,Mississippi,Adams County,9,John Adams
886,November,South Carolina,Edgefield County,6.2,
887,October,Kansas,Lyon County,3.5,Nathaniel Lyon
888,August,Iowa,Keokuk County,3.9,Keokuk
889,April,California,Tuolumne County,7.2,
890,November,Maryland,Kent County,5.1,James Kent
891,December,Colorado,Washington County,2,George Washington
892,July,California,Kings County,9.7,Kings River
893,July,Tennessee,Lauderdale County,9.1,James Lauderdale
894,July,Virginia,Caroline County,5,Caroline of Ansbach
895,September,Mississippi,Pontotoc County,5.3,
896,May,Arkansas,Polk County,6.4,James K. Polk
897,October,North Carolina,Lee County,6.9,Robert E. Lee
898,November,Alabama,Autauga County,4.9,Alabama people
899,September,Iowa,Worth County,3.1,William J. Worth
900,February,Virginia,Norfolk City,6.1,
901,April,New Jersey,Sussex County,5.4,Sussex
902,September,New Mexico,Grant County,6.3,Ulysses S. Grant
903,November,Kansas,Chautauqua County,5.6,Chautauqua Lake
904,June,North Dakota,Renville County,3.6,Joseph Renville
905,August,Indiana,Clark County,4.2,William A. Clark
906,October,Utah,Piute County,5.7,Paiute people
907,October,Iowa,Linn County,3.2,Lewis F. Linn
908,October,Virginia,Westmoreland County,4.5,Westmorland
909,August,Pennsylvania,Clearfield County,6,field
910,April,Texas,Glasscock County,2.1,George Washington Glasscock
911,January,Idaho,Elmore County,5.7,
912,August,Illinois,Cumberland County,5.3,"Prince William, Duke of Cumberland"
913,November,North Carolina,Cherokee County,6,Cherokee
914,October,Washington,Garfield County,5.5,James A. Garfield
915,June,Virginia,Franklin City,7,
916,July,Illinois,Warren County,5.7,Joseph Warren
917,March,Kentucky,Mason County,6.2,Charles H. Mason
918,August,North Dakota,Ransom County,2,Fort Ransom
919,October,Ohio,Washington County,5.7,George Washington
920,October,Iowa,Pocahontas County,2.4,Pocahontas
921,June,California,Butte County,7.3,Sutter Buttes
922,December,Texas,Cooke County,3.7,
923,October,Wisconsin,Dane County,2.8,Nathan Dane
924,May,South Carolina,Beaufort County,5.6,"Henry Somerset, 1st Duke of Beaufort"
925,December,Missouri,Dunklin County,6.9,Daniel Dunklin
926,October,Nebraska,Banner County,2.6,
927,January,New Mexico,Taos County,10,Taos
928,July,Vermont,Addison County,3.7,Joseph Addison
929,August,Mississippi,Clay County,8.7,Henry Clay
930,December,Montana,McCone County,1.9,
931,December,California,Inyo County,5.8,
932,October,South Dakota,Deuel County,3.2,
933,March,Louisiana,Jefferson Davis Parish,6.3,Jefferson Davis
934,May,North Carolina,Chatham County,5,
935,November,Minnesota,Becker County,3.9,George Loomis Becker
936,June,Indiana,Newton County,5.2,
937,September,Minnesota,Chippewa County,3.3,Ojibwe
938,March,Kentucky,Fayette County,4.1,"Gilbert du Motier, Marquis de Lafayette"
939,October,Ohio,Columbiana County,5.4,Christopher Columbus
940,December,Pennsylvania,Schuylkill County,4.8,Schuylkill River
941,July,Kentucky,Livingston County,7.6,Edward Livingston
942,June,Kentucky,Casey County,6,colonel
943,April,Montana,Big Horn County,6.5,Bighorn sheep
944,August,Maryland,Allegany County,7,Allegheny River
945,December,Indiana,Grant County,5.1,Ulysses S. Grant
946,September,Nebraska,Cass County,2.9,Lewis Cass
947,April,Alabama,Butler County,7.1,Richard Butler
948,November,California,San Luis Obispo County,4.5,San Luis Obispo
949,October,New York,Essex County,4.9,Essex
950,May,Kentucky,Fayette County,4.1,"Gilbert du Motier, Marquis de Lafayette"
951,March,Virginia,Russell County,6.9,William Russell
952,January,Montana,Wheatland County,7,wheat
953,April,Texas,Bastrop County,3.5,Felipe Enrique Neri
954,December,Tennessee,Shelby County,6.1,Isaac Shelby
955,July,New Mexico,Harding County,9.7,
956,April,Utah,Wasatch County,3.5,Indigenous peoples of the United States
957,November,Iowa,Clarke County,3.4,John Clark
958,November,Wisconsin,Waushara County,5.7,
959,February,Mississippi,Winston County,8.3,John A. Winston
960,February,Missouri,Sullivan County,7.7,John Sullivan
961,November,Missouri,Dade County,4.2,Francis L. Dade
962,May,South Carolina,Chesterfield County,6.2,
963,December,Virginia,Appomattox County,4.4,Appomattox River
964,February,Texas,Panola County,4.5,cotton
965,January,Illinois,Boone County,7.9,Daniel Boone
966,September,Maryland,Anne Arundel County,4.4,Anne Arundell
967,May,North Carolina,Jones County,6.1,George W. Jones
968,February,Kentucky,Fulton County,7.2,Hamilton Fulton
969,December,Texas,Scurry County,4.3,William Read Scurry
970,February,Alabama,Greene County,11.5,Nathanael Greene
971,March,Louisiana,Plaquemines Parish,5.9,
972,January,Alabama,Jefferson County,5.9,Thomas Jefferson
973,September,Tennessee,Houston County,8.4,Sam Houston
974,September,North Carolina,Caldwell County,5.8,Joseph Caldwell
975,October,Missouri,Webster County,4.1,Daniel Webster
976,March,Indiana,Jennings County,6.1,Jonathan Jennings
977,July,Texas,Wheeler County,4.5,
978,August,Pennsylvania,Lycoming County,5.7,Lycoming Creek
979,March,Washington,Lincoln County,6.3,Abraham Lincoln
980,February,Louisiana,East Feliciana Parish,6.6,Feliciana Parish
981,October,Iowa,Howard County,2.9,John Eager Howard
982,October,Washington,Pacific County,8.4,Pacific Ocean
983,September,Virginia,Mathews County,4,Thomas Mathews
984,July,North Carolina,Hyde County,6.8,Edward Hyde
985,June,Kentucky,Metcalfe County,5.1,Thomas Metcalfe
986,February,Texas,Karnes County,3.5,Henry Karnes
987,June,Pennsylvania,Chester County,4,Chester
988,August,Mississippi,Perry County,7.6,Oliver Hazard Perry
989,January,Colorado,Huerfano County,10.7,Huerfano Butte
990,September,North Carolina,Transylvania County,5,Transylvania Colony
991,February,Louisiana,Lincoln Parish,7.3,Abraham Lincoln
992,December,Pennsylvania,Erie County,4.5,Lake Erie
993,December,Indiana,Wabash County,4.4,Wabash River
994,September,Ohio,Champaign County,3.9,Champaign County
995,June,Mississippi,Humphreys County,13.8,Parry Wayne Humphreys
996,August,West Virginia,Putnam County,5.5,
997,September,Kansas,Montgomery County,6.2,Richard Montgomery
998,February,Kansas,Rice County,3.6,Henry Mower Rice
999,June,Missouri,Cass County,5.1,Lewis Cass
1000,October,Iowa,Monona County,3.3,
1001,July,Washington,Skamania County,6.9,
1002,January,Illinois,Mercer County,8,Hugh Mercer
1003,January,Ohio,Morrow County,6.4,Jackson L. Morrow
1004,November,Wyoming,Weston County,3,
1005,April,Virginia,Prince Edward County,5.8,"Prince Edward, Duke of York and Albany"
1006,January,Nebraska,Fillmore County,2.8,Millard Fillmore
1007,December,Texas,Williamson County,3.1,Hugh Williamson
1008,December,Arkansas,Monroe County,6,James Monroe
1009,August,Kentucky,Johnson County,8.2,
1010,November,Texas,Travis County,3.1,William B. Travis
1011,September,Illinois,Randolph County,5.3,Edmund Randolph
1012,May,Kansas,Franklin County,4.7,Benjamin Franklin
1013,August,Texas,Hockley County,4.6,George Washington Hockley
1014,April,Mississippi,Hancock County,5.8,John Hancock
1015,April,Minnesota,Mahnomen County,5.3,Ojibwe
1016,September,Oregon,Umatilla County,5.2,Umatilla River
1017,December,Oregon,Sherman County,5.9,William Tecumseh Sherman
1018,September,Ohio,Morrow County,4.4,Jackson L. Morrow
1019,June,Minnesota,Becker County,4.1,George Loomis Becker
1020,December,Utah,Tooele County,3.5,
1021,August,Texas,Lampasas County,4.4,Lampasas River
1022,July,Massachusetts,Bristol County,6.4,Bristol
1023,November,Wyoming,Converse County,3.7,
1024,April,Louisiana,Tensas Parish,9.7,
1025,September,Wisconsin,Lafayette County,3.2,"Gilbert du Motier, Marquis de Lafayette"
1026,September,Vermont,Addison County,3.6,Joseph Addison
1027,March,Texas,Hopkins County,4.3,
1028,April,New York,Chenango County,5.8,
1029,January,Texas,Bell County,5.3,Peter Hansborough Bell
1030,March,Montana,Petroleum County,7.7,petroleum
1031,December,North Carolina,Transylvania County,5.3,Transylvania Colony
1032,May,Indiana,Warren County,5,Joseph Warren
1033,November,Virginia,Smyth County,5.6,Alexander Smyth
1034,March,North Dakota,McIntosh County,4,
1035,May,Washington,Lincoln County,5.5,Abraham Lincoln
1036,February,Oregon,Lake County,10.3,lake
1037,December,Ohio,Monroe County,10.9,James Monroe
1038,June,Illinois,Cook County,6.4,Daniel Pope Cook
1039,November,West Virginia,Lewis County,7.9,Meriwether Lewis
1040,November,Nebraska,Richardson County,2.6,William Alexander Richardson
1041,July,Arkansas,Pike County,7.2,Zebulon Pike
1042,February,Missouri,Macon County,7,Nathaniel Macon
