d3mIndex,Month,State,County,Rate,County - named after (any)
119,May,Mississippi,Pike County,7.6,Zebulon Pike
120,February,Texas,Roberts County,4,
121,January,North Carolina,Nash County,7.5,Francis Nash
122,May,Idaho,Canyon County,4.5,
123,November,New York,Cattaraugus County,5.5,
124,June,California,Amador County,6.3,José María Amador
125,September,Missouri,Worth County,2.6,William J. Worth
126,November,Iowa,Dubuque County,2.9,Julien Dubuque
127,March,Texas,Sterling County,3.4,
128,August,Tennessee,McNairy County,8.2,John McNairy
129,October,Utah,Grand County,3.6,Colorado River
130,July,Texas,Brooks County,11.5,Preston Brooks
131,April,Illinois,Schuyler County,5,Philip Schuyler
132,January,Kentucky,Fayette County,4.3,"Gilbert du Motier, Marquis de Lafayette"
133,September,North Carolina,Randolph County,5.3,Edmund Randolph
134,February,Texas,Castro County,3.7,Henri Castro
135,February,Wyoming,Natrona County,4.2,natron
136,October,New York,Kings County,5.3,Kings River
137,January,Virginia,Covington City,8.3,
138,April,West Virginia,Lewis County,8.7,Meriwether Lewis
139,April,Texas,Refugio County,5.2,Refugio
140,August,Missouri,Butler County,6.1,Richard Butler
141,April,Texas,Williamson County,3.1,Hugh Williamson
142,September,Kentucky,Jessamine County,4,Jessamine Creek
143,March,Wisconsin,La Crosse County,4.3,lacrosse
144,May,Hawaii,Hawaii County,4.4,Hawaii
145,December,North Carolina,Polk County,4.9,James K. Polk
146,December,New York,Cayuga County,5.2,Cayuga people
147,December,New Jersey,Sussex County,4,Sussex
148,April,Wisconsin,Richland County,4.2,
149,July,Kansas,Hodgeman County,3.6,
150,July,Louisiana,Saint Helena Parish,9.3,Saint Helena
151,June,South Dakota,Custer County,3.5,George Armstrong Custer
152,May,Texas,Concho County,2.9,Concho River
153,April,South Dakota,Ziebach County,4.9,Frank M. Ziebach
154,October,Pennsylvania,Butler County,3.8,Richard Butler
155,March,Texas,Lynn County,4,
156,February,Virginia,Augusta County,4.7,Princess Augusta of Saxe-Gotha
157,March,South Carolina,Saluda County,5.3,Saluda River
158,December,Alabama,Dallas County,9,George M. Dallas
159,June,Minnesota,Mahnomen County,5.8,Ojibwe
160,May,Kansas,Haskell County,2.8,Charles N. Haskell
161,October,Pennsylvania,Franklin County,4.3,Benjamin Franklin
162,February,Pennsylvania,Schuylkill County,6.9,Schuylkill River
163,February,New Mexico,Hidalgo County,6.7,Villa de Guadalupe Hidalgo
164,February,Louisiana,Sabine Parish,7.2,Sabine River
165,January,Virginia,Botetourt County,4.8,"Norborne Berkeley, 4th Baron Botetourt"
166,November,Virginia,King William County,3.6,William III
167,February,Virginia,Hanover County,4.3,Electorate of Brunswick-Lüneburg
168,November,Texas,Houston County,4.7,Sam Houston
169,February,Nevada,Humboldt County,6.1,Alexander von Humboldt
170,September,Tennessee,Bradley County,5.2,Edward Bradley
171,April,Pennsylvania,Dauphin County,4.3,"Louis Joseph, Dauphin of France"
172,October,Kentucky,Adair County,6.4,William Penn Adair
173,October,Minnesota,Kittson County,3,Norman Kittson
174,September,Kentucky,Butler County,5.2,Richard Butler
175,April,Kentucky,Oldham County,3.6,William Simpson Oldham Sr.
176,April,West Virginia,Gilmer County,8.2,
177,September,Minnesota,Marshall County,4.2,John Marshall
178,March,North Carolina,Hoke County,8.1,Robert Hoke
179,April,Hawaii,Kauai County,4.2,Kauai
180,September,New Hampshire,Belknap County,2.8,Jeremy Belknap
181,October,Missouri,Howard County,3.6,John Eager Howard
182,December,Alabama,Hale County,7.8,Stephen F. Hale
183,February,West Virginia,Hampshire County,7.5,Hampshire
184,September,Idaho,Lemhi County,5.3,Fort Lemhi
185,February,Ohio,Delaware County,3.7,Delaware River
186,April,Illinois,Edgar County,5.1,John Edgar
187,October,North Carolina,Pamlico County,5.8,Pamlico
188,August,Virginia,Isle of Wight County,4.5,Isle of Wight
189,July,New York,Schuyler County,5.9,Philip Schuyler
190,February,Virginia,Middlesex County,5.4,Middlesex
191,July,Arkansas,Independence County,6.9,
192,March,North Carolina,Richmond County,7.6,"Charles Lennox, 3rd Duke of Richmond"
193,December,Arizona,Yuma County,17.6,Quechan people
194,July,North Carolina,Cabarrus County,5.7,Stephen Cabarrus
195,October,Indiana,Shelby County,3.9,Isaac Shelby
196,November,Texas,Presidio County,10.6,
197,December,Virginia,Bland County,4.8,Richard Bland
198,September,Texas,Ward County,4.7,
199,September,Nevada,Humboldt County,5.8,Alexander von Humboldt
200,February,Virginia,Northumberland County,8.9,Northumberland
201,August,North Dakota,Dunn County,2.2,Charles Dunn
202,June,Montana,Cascade County,3.9,
203,April,Maryland,Kent County,5.1,James Kent
204,April,Kentucky,Clinton County,7,George Clinton
205,January,Texas,Fort Bend County,4.2,
206,August,Oklahoma,Carter County,4.4,Thomas H. Carter
207,September,Missouri,Gentry County,3.6,Richard Gentry
208,April,Montana,Sheridan County,2,Philip Sheridan
209,April,Mississippi,Holmes County,10.7,
210,February,Rhode Island,Bristol County,6.2,Bristol
211,June,Idaho,Clearwater County,6.9,Clearwater River
212,March,Kansas,Ness County,3.5,
213,April,Iowa,Washington County,3,George Washington
214,April,Nebraska,Thomas County,3.5,
215,September,Texas,Brooks County,11.5,Preston Brooks
216,January,Wisconsin,Polk County,6.4,James K. Polk
217,May,New York,Onondaga County,5.1,Onondaga people
218,January,Washington,Chelan County,7.5,Chelan people
219,April,Missouri,Lewis County,5.1,Meriwether Lewis
220,January,Texas,Llano County,4.8,Llano River
221,June,Texas,Yoakum County,4.1,Henderson King Yoakum
222,August,Nebraska,Antelope County,2.3,Pronghorn
223,July,Ohio,Trumbull County,6.3,Jonathan Trumbull
224,October,Texas,King County,2.8,Martin Luther King Jr.
225,October,North Carolina,Forsyth County,5.3,Benjamin Forsyth
226,January,Iowa,Wapello County,5.6,Wapello
227,February,Illinois,Marshall County,7.1,John Marshall
228,May,Minnesota,Wadena County,5.2,
229,April,Alabama,Escambia County,6,
230,February,Pennsylvania,Greene County,5.5,Nathanael Greene
231,December,Nebraska,Richardson County,2.9,William Alexander Richardson
232,January,Oklahoma,Tillman County,4.3,"Benjamin Ryan Tillman, Jr."
233,April,Virginia,Lancaster County,7.2,Lancaster
234,March,Louisiana,Assumption Parish,7.9,Assumption of Mary
235,December,Alabama,Elmore County,4.9,
236,March,Indiana,Clay County,5.9,Henry Clay
237,September,Minnesota,Lincoln County,2.2,Abraham Lincoln
238,April,Missouri,Montgomery County,5.3,Richard Montgomery
239,November,New Jersey,Mercer County,3.8,Hugh Mercer
240,July,Missouri,Dade County,6,Francis L. Dade
241,March,Missouri,Barry County,5.7,William T. Barry
242,March,Tennessee,Cumberland County,7.7,"Prince William, Duke of Cumberland"
243,April,South Dakota,Jackson County,4.8,Andrew Jackson
244,March,Ohio,Trumbull County,6.9,Jonathan Trumbull
245,December,West Virginia,Wirt County,9.3,William Wirt
246,September,Pennsylvania,Cambria County,5.4,Cambria
247,November,South Carolina,Pickens County,5.1,Andrew Pickens
248,September,Texas,McCulloch County,5.6,Benjamin McCulloch
249,June,Texas,Brewster County,4.4,Henry Percy Brewster
250,June,Iowa,Howard County,3,John Eager Howard
251,September,Kentucky,Warren County,4,Joseph Warren
252,August,Illinois,Kane County,5.6,Thomas L. Kane
253,November,Kansas,Harper County,3.4,Oscar G. Harper
254,March,South Carolina,Dillon County,8.6,
255,March,Tennessee,McNairy County,9.3,John McNairy
256,June,Wyoming,Park County,3.6,Yellowstone National Park
257,May,Pennsylvania,Union County,4.6,Union
258,April,Texas,McMullen County,1.8,
259,November,New York,Sullivan County,5,John Sullivan
260,May,Illinois,Massac County,6.9,Fort Massac
261,February,New York,Broome County,7.1,John Broome
262,September,Indiana,Hamilton County,2.9,Alexander Hamilton
263,July,Oklahoma,Blaine County,3.7,James G. Blaine
264,January,Missouri,Pemiscot County,8.8,Pemiscot Bayou
265,March,Nevada,Esmeralda County,4.1,emerald
266,July,Pennsylvania,Philadelphia County,7.8,Philadelphia
267,December,Arkansas,Boone County,4.4,Daniel Boone
268,March,Texas,Chambers County,4.9,
269,July,Kentucky,Lee County,8.7,Robert E. Lee
270,May,North Carolina,Gaston County,6.3,William Gaston
271,June,Utah,Sanpete County,4.6,Sanpitch
272,January,Indiana,Clinton County,5.1,George Clinton
273,December,Alabama,Jefferson County,5.6,Thomas Jefferson
274,November,Missouri,Howell County,5.3,Howell Valley
275,June,Iowa,Marshall County,4.4,John Marshall
276,July,Illinois,Jasper County,6.3,William Jasper
277,April,California,Plumas County,10.9,Feather River
278,October,Utah,Utah County,2.9,Ute people
279,November,Montana,Mineral County,9.2,mineral
280,September,North Carolina,Nash County,7,Francis Nash
281,June,Texas,Palo Pinto County,5.5,Palo Pinto Creek
282,July,North Dakota,Logan County,2.3,Logan
283,May,Tennessee,Monroe County,6.3,James Monroe
284,May,Missouri,Madison County,6.8,James Madison
285,May,Minnesota,Brown County,4.1,Henry Stevenson Brown
286,March,Idaho,Minidoka County,4,
287,February,Kansas,Wallace County,2.8,W. H. L. Wallace
288,November,New Mexico,Lincoln County,5.9,Abraham Lincoln
289,April,Texas,Nueces County,4.4,Nueces River
